devices,user_count
Xiaomi Redmi Note 4,404112
(not set),379085
OPPO A37f,248004
Samsung SM-J200G Galaxy J2 (2015),247106
Samsung SM-G610F J7 Prime,202291
Xiaomi Redmi 4,199039
Xiaomi Redmi 4A,186025
Samsung SM-J700F Galaxy J7 2015,164062
Vivo Y53 1606,158939
Samsung SM-G532G Galaxy Grand Prime+,145702
Apple iPhone,135812
OPPO A57,134272
OPPO A1601 F1s,131165
Xiaomi Redmi 3S,128764
Samsung SM-J210F Galaxy J2 (2016),125972
Samsung J701F Galaxy J7 Nxt,121895
Xiaomi Redmi Note 3,110972
Xiaomi Redmi 5A,107399
OPPO A37fw,106409
Vivo 1610 Y55s,92144
Xiaomi Mi A1,87904
Samsung SM-G615F Galaxy J7 Max,87675
Vivo 1501 V5,76475
OPPO CPH1609 F3,74043
Vivo Y51L,68329
Xiaomi Redmi 4X,64985
Vivo 1714 Y69,64411
OPPO A33f,62486
Vivo Y21L,62445
Samsung SM-J710F Galaxy J7 (2016),61884
Xiaomi Redmi Y1,56694
Vivo 1713 V5s,53664
Samsung SM-J111F Galaxy J1 Ace,50734
Vivo 1716 V7 Plus,49169
Vivo 1609 V5 Lite,47539
Samsung SM-G570F J5 Prime,46217
Samsung SM-J500F Galaxy J5,46026
Motorola Moto E (4) Plus,44413
OPPO CPH1717 A71,43448
Vivo Y55 1603,42583
Motorola Moto G (4) Moto G4,42359
OPPO CPH1723 A71,40809
Vivo 1718 V7,36893
Samsung SM-G600FY Galaxy On7,35899
Samsung SM-G550FY On5,35217
Samsung SM-J730GM Galaxy J7 Pro,34631
Lenovo K33a42 Vibe K6 Power,33585
Lenovo A7020a48 Vibe K5 Note,31839
Xiaomi Redmi Note 5A,31393
Lenovo A6000,29341
Samsung SM-G530H Galaxy Grand Prime,28784
iZoom 1201,28720
Xiaomi 2014818 Hongmi 2 4G / Redmi 2 Dual SIM,27546
Motorola Moto C Plus,26642
Samsung SM-J120G Galaxy J1 2016,26444
Vivo V3,25326
Samsung SM-J100H Galaxy J1,25149
Samsung SM-J500G Galaxy J5,24961
Samsung SM-J320M Galaxy J3 Duos,24923
Asus Z010D Zenfone Max,24529
Motorola XT1706 Moto E3 Power,24078
Gionee F103 Pro,23646
Lenovo A7010a48 Vibe K4 Note,23570
Samsung SM-J510FN Galaxy J5 (2016),23549
OPPO A33w Neo 7,22916
Xiaomi Redmi Y1 Lite,22568
Samsung SM-G355H Galaxy Core II,22199
